id	x	y	u	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec	parallax
21	216.8353	-235.16602	15.713	5309183145338379648	13.010624885559082	13.280972480773926	12.567144393920898	0.7138280868530273	146.17848436657496	-54.17859406173073	0.302742240130596
22	216.2825	23.0633	18.531	5309187715183616000	15.691092491149902	16.070159912109375	15.134385108947754	0.9357748031616212	146.17668059042035	-54.10624908669359	0.5488186249122005
23	206.91893	-32.75951	16.783	5309187680823869312	13.971637725830078	14.325204849243164	13.449480056762695	0.8757247924804688	146.17252180483203	-54.12192984672727	0.5076633547813726
24	202.2018	-104.21315	18.279	5309186134635631616	15.006962776184082	15.433638572692873	14.415109634399414	1.018528938293457	146.17068036817005	-54.14197310814168	0.6789352944016428
25	202.56288	37.55457	20.171	5309187921342046464	17.041736602783203	17.542123794555664	16.383346557617188	1.1587772369384766	146.16997316924903	-54.10223353858628	0.4456784947926169
26	191.7033	-151.25135	20.123	5309186100275886336	16.610837936401367	17.074832916259766	15.795016288757324	1.2798166275024414	146.1659099035203	-54.155153089452256	0.450273633795376
27	187.1135	122.49885	19.26	5309188093140614912	15.800629615783691	16.35318946838379	15.09381103515625	1.259378433227539	146.16206703859524	-54.07848680136825	0.3802334314935075
28	183.91386	-91.66144	17.758	5309186203355107456	14.694588661193848	15.073251724243164	14.119518280029297	0.9537334442138672	146.16182398526644	-54.13851023736995	0.9646127303195796
29	183.4594	-118.22892	20.177	5309186203355103872	16.818321228027344	17.36669158935547	16.126739501953125	1.2399520874023438	146.16173541600176	-54.14595112397338	0.3127037634358827
30	178.26258	-285.08297	18.999	5309183007899416192	16.02337074279785	16.432016372680664	15.43772792816162	0.994288444519043	146.16020374992954	-54.19272010417493	0.3789391726412466
31	175.9705	-192.84801	17.574	5309185997196664832	14.695844650268556	15.053918838500977	14.156820297241213	0.8970985412597656	146.15859195719364	-54.16689834002086	0.5838649876864073
32	175.00036	-247.27899	19.509	5309185997196658176	16.315597534179688	16.726272583007812	15.728793144226074	0.9974794387817384	146.15842589037297	-54.18213696518912	0.2319017741954916
33	174.93713	-103.63866	20.361	5309186203355104640	14.763843536376951	15.713924407958984	13.805086135864258	1.9088382720947263	146.15754091832383	-54.14191057626212	0.3427788312010193
34	176.8294	176.72746	20.471	5309188127500492416	16.623201370239258	17.294822692871094	15.803529739379885	1.491292953491211	146.15676779176457	-54.06332963555583	0.1018244983670268
35	172.55702	-155.94396	19.002	5309186100275883520	14.346558570861816	15.097451210021973	13.49921417236328	1.5982370376586914	146.15672245826346	-54.15656396807167	0.3647754675068769
36	170.40092	-124.29743	19.136	5309186168995364224	16.122140884399414	16.47487449645996	15.587556838989258	0.8873176574707031	146.15549415108873	-54.14770057976471	0.238056711333812
37	168.58238	-259.40361	16.714	5309185962836917632	13.89609432220459	14.18421459197998	13.386835098266602	0.7973794937133789	146.1553978158517	-54.185556336655445	0.3470012769529765
38	171.70775	132.12936	20.71	5309188093140614144	17.362598419189453	17.914348602294922	16.679357528686523	1.2349910736083984	146.15458950888618	-54.07582614096317	0.2730396263216507
39	165.57459	48.50819	19.085	5309187921341914880	13.43647575378418	14.43177318572998	12.45174503326416	1.9800281524658203	146.1521546261334	-54.09928830961484	0.3056738357750291
40	164.85057	4.55295	18.884	5309187886982298880	15.808164596557615	16.242916107177734	15.199625968933104	1.043290138244629	146.1520734605243	-54.111604675224456	0.4124915236473407
41	163.34511	-21.29342	18.245	5309187886982295936	15.270689010620115	15.584049224853516	14.785784721374512	0.7982645034790039	146.15149378010742	-54.118850400011766	0.3105478150263933
42	162.59435	83.6475	15.901	5309187990061394560	13.324804306030272	13.582429885864258	12.898966789245604	0.6834630966186523	146.15050518381275	-54.08945033664801	0.3357105402178477
43	161.21723	98.80501	19.68	5309187985746579200	16.336185455322266	16.83902931213379	15.62124729156494	1.2177820205688477	146.1497545710144	-54.08520847936853	0.1614763648310785
44	157.19394	67.99327	19.276	5309187990067276928	16.082746505737305	16.584293365478516	15.412236213684082	1.1720571517944336	146.14799451449397	-54.093847479070135	0.416020503989023
45	157.3691	154.10518	20.461	5309188093140615168	17.004037857055664	17.499826431274414	16.33500099182129	1.164825439453125	146.14759432266757	-54.06972082415543	0.139840207249991
46	155.22696	23.89529	20.23	5309187886982300416	16.406259536743164	17.01267433166504	15.634017944335938	1.3786563873291016	146.14732865716527	-54.106220899114085	0.2273232670000322
47	152.75652	-162.58235	18.215	5309186061601059840	15.162840843200684	15.49355697631836	14.594463348388672	0.8990936279296875	146.14722754600203	-54.158491899427176	0.3102989283563356
48	153.47252	123.9412	16.387	5309188093140612736	13.813966751098633	14.123746871948242	13.33727741241455	0.7864694595336914	146.14591350813447	-54.07819846147061	1.461215366589468
49	149.78837	-179.64336	19.296	5309186065916139776	16.13471221923828	16.55841064453125	15.546321868896484	1.0120887756347656	146.14590907756693	-54.16329936753484	0.6183617883395447
50	149.79422	99.3209	20.04	5309187990061395328	16.467266082763672	16.920076370239258	15.75815773010254	1.1619186401367188	146.14428540713388	-54.08511076563517	0.6906485456990136
51	138.88579	-141.04075	16.803	5309186168995358976	14.16733455657959	14.456809997558594	13.712371826171877	0.7444381713867188	146.1404215600122	-54.15249184625411	0.5657792722426921
52	135.07573	-343.86167	20.35	5309182625627137792	17.158674240112305	17.646276473999023	16.454748153686523	1.1915283203125	146.13976770747874	-54.209347945751006	0.4405341737177125
53	138.15574	72.4401	20.708	5309187990061391360	16.989486694335938	17.59532356262207	16.203344345092773	1.3919792175292969	146.13882815740536	-54.09266272297126	0.2936066308757535
54	137.28152	-5.78715	18.608	5309186409513545216	15.803701400756836	16.139829635620117	15.232256889343262	0.9075727462768556	146.13887545588284	-54.11460646765447	0.5247503931541448
55	133.53537	-300.80414	20.033	5309185584879918208	16.59722137451172	17.159423828125	15.87483024597168	1.2845935821533203	146.13876827906907	-54.197287722526994	0.2793631240255015
56	129.62753	-290.28866	14.913	5309185584879786240	12.311466217041016	12.567564964294434	11.899214744567873	0.6683502197265625	146.1368173660887	-54.19435348376102	0.7537100218258839
57	127.60799	-66.0786	20.144	5309186375153795840	16.969371795654297	17.429147720336914	16.33500099182129	1.094146728515625	146.13459981575883	-54.13154197159822	0.591691067821483
58	126.21015	-197.40554	15.29	5309186065916135296	12.713593482971191	12.998190879821776	12.270132064819336	0.7280588150024414	146.13467193671326	-54.16835658260501	1.8776399641210475
59	125.29397	-108.98867	18.912	5309186370838752640	15.655381202697754	16.059322357177734	14.999979972839355	1.059342384338379	146.13370784932033	-54.143569760502736	0.2215694349234197
60	124.42041	31.95215	15.061	5309187955701646464	12.553241729736328	12.709003448486328	12.27973175048828	0.4292716979980469	146.13247400012182	-54.10406377843495	0.451373120604045
61	119.30328	46.53633	19.3	5309187955701647872	16.044403076171875	16.466310501098633	15.424586296081545	1.0417242050170898	146.12990946235558	-54.09999892330277	0.6630893919512346
62	113.10352	-279.07915	19.061	5309185584879785728	15.993206024169922	16.344970703125	15.446514129638672	0.8984565734863281	146.1287984935724	-54.19126854556063	0.1995350639425578
63	114.63657	99.17202	19.278	5309188745975636096	15.616658210754396	16.11507225036621	14.95830535888672	1.1567668914794922	146.12738443201616	-54.08525893395557	0.9584054149048952
64	110.33772	-259.63704	20.406	5309185653605145856	16.829261779785156	17.4143009185791	16.08863639831543	1.325664520263672	146.12733371039997	-54.18583204992399	0.311472547064511
65	111.22197	220.89073	20.485	5309188917774337792	16.897903442382812	17.41478729248047	16.238651275634766	1.1761360168457031	146.12503510294394	-54.05113790439528	0.544351183402698
66	103.58168	174.06016	18.909	5309188814695119232	15.723483085632324	16.143159866333008	15.136794090270996	1.0063657760620115	146.12163415299963	-54.0643195205956	0.5899031809178464
67	91.7014	-215.52432	19.624	5309186031562269440	16.357236862182617	16.58841896057129	15.203311920166016	1.3851070404052734	146.11814673054388	-54.17355667593585	0.2722801818944395
68	93.84729	215.32263	20.245	5309188917755188608	16.743545532226562	17.22048568725586	16.0745906829834	1.145895004272461	146.11670979759546	-54.052766010553285	0.648298527594197
69	90.9245	65.74432	15.009	5309188711615890944	12.392486572265623	12.692261695861816	11.926767349243164	0.7654943466186523	146.11616704712864	-54.09469280244524	1.4364297121180494
70	89.97873	-32.28314	15.537	5309186443873146496	12.819293022155762	13.093981742858888	12.374661445617676	0.7193202972412109	146.11627968054222	-54.122190173128295	0.3706650340684472
71	88.66165	94.58169	20.092	5309188711615893632	16.698577880859375	17.287593841552734	15.970983505249023	1.316610336303711	146.11493827747316	-54.08662553902739	0.3346296868330012
72	85.16759	225.08384	19.723	5309188917774336640	16.497358322143555	16.89586639404297	15.917498588562012	0.978367805480957	146.11248694589946	-54.05006040609876	0.2794517982248952
73	80.94832	-228.0821	20.249	5309185653599265664	16.808807373046875	17.22443962097168	15.612669944763184	1.611769676208496	146.11304662905255	-54.177098856946834	0.4196789314601111
74	83.5351	64.66864	18.374	5309188711615889792	15.355025291442873	15.675932884216309	14.852728843688965	0.8232040405273438	146.11263150046335	-54.09502679861114	0.2956569510963064
75	81.63181	135.84172	18.134	5309188814695113216	14.735480308532717	15.2353515625	14.05734634399414	1.1780052185058594	146.11130929686567	-54.07508834876248	0.3522126929009078
76	78.85257	-127.24488	16.281	5309186272074568448	13.686019897460938	13.955850601196287	13.252660751342772	0.7031898498535156	146.11147054937985	-54.1488460239105	0.7514658621038721
77	76.9531	-8.37184	20.433	5309186443873149056	16.811304092407227	17.459686279296875	16.02174949645996	1.437936782836914	146.10988957891047	-54.115523064579264	0.0545641613363834
78	73.63324	105.60586	17.638	5309188711615893376	15.01615047454834	15.32036018371582	14.544921875	0.7754383087158203	146.10764870997744	-54.083596838313255	0.6549483710877214
79	73.72169	242.11795	20.443	5309189123932767104	16.601343154907227	17.13300132751465	15.930963516235352	1.2020378112792969	146.10693221378716	-54.0453306038417	0.7161956680672954
80	70.17954	-9.0885	17.845	5309186443873147904	14.977612495422363	15.34511947631836	14.440244674682615	0.9048748016357422	146.1066467191931	-54.11576300541952	0.892268582573485
