id	x	y	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec
1271	116.8443349	-311.1510737	5309185584879782144	15.246990203857422	15.57899570465088	14.713077545166016	0.8659181594848633	146.1307967515473	-54.20025654816144
2764	110.0082037	87.1132457	5309188711615895040	17.07501220703125	17.623409271240234	16.36899185180664	1.2544174194335938	146.12520890605023	-54.08865360764168
1699	87.4567259	-14.1319425	5309186478233012736	15.801229476928713	16.169950485229492	15.249062538146973	0.9208879470825196	146.11494662850038	-54.11710699221653
1298	83.0113481	-286.6431878	5309185653599257984	14.056597709655762	14.346481323242188	13.590190887451172	0.7562904357910156	146.11435548636896	-54.19350202189307
2088	78.3876527	35.7088562	5309187234147137024	17.48290252685547	18.033716201782227	16.78586196899414	1.247854232788086	146.11030412088397	-54.10316783362598
1571	64.4923802	-129.93727	5309186237714828672	14.799918174743652	15.071781158447266	14.357810020446776	0.7139711380004883	146.10455330770972	-54.14964183380161
1678	61.7499862	-25.3351401	5309186443873143424	14.343029975891112	14.610297203063965	13.90914535522461	0.7011518478393555	146.10264774352376	-54.12033270474135
2067	61.3055106	2.2478518	5309187199787392384	15.846165657043455	16.315685272216797	15.201083183288574	1.1146020889282229	146.1022796994598	-54.112603125702186
2074	49.0411788	21.4633565	5309187199787593600	14.664685249328612	14.917911529541016	14.241292953491213	0.6766185760498047	146.09627610786583	-54.107257735815296
2073	48.263818	6.0813051	5309187199787516416	15.32468605041504	15.641434669494627	14.835390090942385	0.8060445785522461	146.0959877530401	-54.11157161964748
2124	29.8310702	74.4161321	5309187302866612992	15.214485168457031	15.620546340942385	14.62980842590332	0.9907379150390624	146.0867501780589	-54.09247861440951
1602	25.2855412	-130.2767899	5309186306434300672	15.081215858459473	15.392783164978027	14.592621803283691	0.8001613616943359	146.08568694727248	-54.14986548390021
2059	25.4814036	-5.9639252	5309187199787385344	13.852744102478027	14.11182689666748	13.429807662963867	0.6820192337036133	146.08509978915654	-54.11502194911176
1436	23.2723765	-179.4966037	5309185928477171584	15.116389274597168	15.566131591796877	14.475794792175291	1.090336799621582	146.0849878703889	-54.163667518943605
1600	18.4555288	-100.9220652	5309186306434176640	15.131170272827148	15.421345710754396	14.66923713684082	0.7521085739135742	146.0822396578814	-54.1416599035279
2003	14.3305136	-19.1372665	5309187096708167296	15.201849937438965	15.512715339660645	14.707948684692385	0.8047666549682617	146.07980959358224	-54.118750208330816
2001	13.1852953	-24.0285176	5309187096708165632	16.14348030090332	16.552066802978516	15.40611743927002	1.145949363708496	146.0792854711067	-54.12012482920476
2019	-22.8928187	-40.7685011	5309187131047234304	10.812751770019531	11.761305809020996	9.856372833251951	1.904932975769043	146.06202432223108	-54.12493150577039
2261	-29.8065205	176.7488187	5309187573438285184	17.202444076538086	17.742422103881836	16.450817108154297	1.291604995727539	146.05754801809633	-54.06398633696085
2162	-40.3385641	39.5300236	5309187371586203008	15.347753524780272	15.648893356323242	14.88027286529541	0.768620491027832	146.05321097926125	-54.1024795848379
2158	-56.3117625	50.9576668	5309187371586074880	15.746758460998535	16.174922943115234	15.131328582763672	1.0435943603515625	146.0454730953985	-54.0993260129053
2147	-63.3067249	66.6851628	5309187367273727104	16.465682983398438	16.975683212280273	15.792098999023438	1.183584213256836	146.04202931397012	-54.09493931131804
