 80   -208.00891    -13.39218 18.65682983398437
 81   -226.37973     34.39969 18.46158790588379
 82   -223.52105     33.34118 16.72075080871582
 83   -226.41827     -8.70702 17.374927520751953
 84   -211.82267    -22.58394 16.702957153320312
 85   -207.66461    -20.32497 17.41236114501953
 86   -223.10652      4.78939 13.999201774597168
 87   -223.35841     31.26639 16.30931854248047
 88   -214.37667     22.96701 18.374969482421875
 89   -203.08519     70.09897 17.629451751708984
 90   -183.58176     31.82931 18.93464088439941
 91   -204.01040     66.76995 18.552902221679688
 92   -182.84789     53.05956 18.69188499450684
 93   -175.46229     64.86718 18.60581398010254
 94   -196.85448     26.76410 15.759872436523438
 95   -187.82604     24.97363 15.723411560058594
 96   -200.30926     46.70343 12.848888397216797
 97   -208.24320     54.89674 16.46535301208496
 98   -202.70960     50.33343 18.85340881347656
 99   -168.46473     56.72673 15.59495735168457
 100   -184.60324     22.11020 14.784815788269045
 101   -238.58705     40.12918 18.295555114746094
 102   -260.97316     43.46324 18.66788101196289
 103   -243.47484     56.83086 17.807809829711914
 104   -259.97936     66.00722 18.457916259765625
 105   -259.26987     89.55543 18.846908569335938
 106   -254.86430     23.47861 17.902254104614258
 107   -247.56203     18.59911 15.786371231079102
 108   -247.77013     21.53061 15.936078071594238
 109   -273.93238     48.56892 14.906172752380373
 110   -276.57206     52.69340 16.965103149414062
 111   -249.71425     45.75081 16.3774471282959
 112   -243.88603     48.93068 17.321739196777344
 113   -239.35848    133.50687 18.26597023010254
 114   -219.42419     99.25132 18.413503646850582
 115   -234.62360     63.04242 17.990537643432617
 116   -218.94248     83.47106 18.723371505737305
 117   -234.89111    125.33853 18.90348243713379
 118   -252.26835     83.63093 14.19974136352539
 119   -238.70000     78.46383 18.15913391113281
 120   -223.48501     64.97682 16.06822395324707
 121   -227.04621     69.60696 17.13991355895996
 122   -254.81505    106.04332 17.247156143188477
 123   -227.96188     89.50013 16.57341766357422
 124   -226.35995    100.64766 16.326805114746094
 125   -229.59386    104.12226 16.47870445251465
 126   -237.83122    122.63401 16.2380313873291
 127   -324.66148     -1.75566 18.93993377685547
 128   -336.80443      2.38475 18.53605079650879
 129   -325.04308     18.80978 18.81548309326172
 130   -331.86967      8.15665 18.990137100219727
 131   -334.56288     16.75661 18.58209228515625
 132   -334.15845    -30.75906 16.6285400390625
 133   -350.50426    -12.81403 18.268465042114254
 134   -335.61903    -17.25633 15.13476276397705
 135   -352.58618      5.21016 11.97963523864746
 136   -330.82336     -9.71830 16.668960571289062
 137   -319.03365     -0.85307 17.433992385864258
 138   -330.86930     12.30047 17.516529083251953
 139   -334.09413     26.77140 16.621305465698242
 140   -344.57172     46.74096 17.04326820373535
 141   -348.18048     18.03411 17.669328689575195
 142   -345.27472     26.75161 17.023014068603516
 143   -299.23886     57.08127 18.354219436645508
 144   -303.35078     27.71429 16.96946907043457
 145   -307.26556     65.79713 17.857664108276367
 146   -313.75241     68.23103 18.210039138793945
 147   -316.03959     77.83976 17.286958694458008
 148   -330.50687     83.55741 17.49151039123535
 149   -318.55139     86.50678 18.713943481445312
 150   -342.29571     49.74210 18.2959041595459
 151   -309.01933     74.72148 17.82286262512207
 152   -315.80260     49.53554 18.55678939819336
 153   -324.93768     71.88318 18.700159072875977
 154   -296.30787     51.53078 18.763830184936523
 155   -322.19172     23.65927 17.535232543945312
 156   -311.79186     30.69449 14.631667137145996
 157   -312.60044     49.07846 18.12621307373047
 158   -325.21784     66.38164 15.293691635131836
 159   -296.52017     45.51004 15.37602710723877
 160   -323.72853     74.26269 15.997718811035156
 161   -292.42467     49.03225 18.636096954345703
 162   -306.25950     73.21904 16.56239891052246
 163   -303.24286     29.75323 17.57723617553711
 164   -373.54567     15.18210 17.71599769592285
 165   -366.08973     18.79740 18.567218780517575
 166   -379.29634     37.87737 18.650049209594727
 167   -363.15924     44.94792 18.380352020263672
 168   -389.25475     44.58174 18.1132869720459
 169   -381.66217     44.42404 18.494075775146484
 170   -395.74019     69.42272 17.898635864257812
 171   -377.80439     81.67675 17.45440673828125
 172   -392.49857     35.12790 18.219640731811523
 173   -372.08441     41.26475 18.96419906616211
 174   -361.42871     27.66505 18.634862899780277
 175   -369.50585     46.93929 18.905563354492188
 176   -388.45377     28.66832 16.84339714050293
 177   -372.95838     45.06942 18.884227752685547
 178   -387.97200     68.18298 18.318458557128903
 179   -373.80112     64.69196 17.774614334106445
 180   -368.27372     60.64122 17.745386123657227
 181   -402.72395     51.75755 17.295316696166992
 182   -353.60633    123.53614 17.4882869720459
 183   -356.39412    127.55622 16.826730728149414
 184   -373.50595     99.19368 15.664233207702637
 185   -337.68237    102.14395 16.929899215698242
 186   -275.61413     95.43676 18.49849510192871
 187   -292.49442     67.63615 17.600069046020508
 188   -306.29223     92.72829 18.08632469177246
 189   -294.69413     66.86674 18.3016300201416
 190   -290.31950     66.76162 18.85235977172852
 191   -291.63518     72.07840 18.75042724609375
 192   -278.40976     84.34117 18.768096923828125
 193   -303.83320     72.61559 18.14821434020996
 194   -290.11742     91.46319 17.61260986328125
 195   -275.97214     98.01084 18.93483543395996
 196   -288.76015     64.51281 17.201065063476562
 197   -304.18784     91.58113 17.354839324951172
 198   -285.34392     81.27190 17.005414962768555
 199   -309.13202    103.17834 13.999223709106444
 200   -298.44812    131.80328 16.931283950805664
 201   -296.73178     83.96933 15.508991241455078
 202   -291.74363     80.26324 17.020952224731445
 203   -290.89234     91.32149 17.054370880126953
 204   -256.19140    118.86215 18.22765350341797
 205   -261.99454    122.09531 18.420320510864254
 206   -265.65613    127.08444 18.69048309326172
 207   -274.50309    124.41782 17.737367630004883
 208   -284.24227    129.37039 17.91428565979004
 209   -247.70448    138.36843 18.350133895874023
 210   -258.37913    141.39948 17.744808197021484
