ra,dec,u
154.98822,-59.67184,20.109
154.98363,-59.70119,19.25
154.98045,-59.70278,20.76
154.97741,-59.74845,20.22
154.97473,-59.72708,20.31
154.9704,-59.71143,20.22
154.96816,-59.69132,17.751
154.96466,-59.74328,19.88
154.96256,-59.74172,18.46
154.95749,-59.70646,20.24
155.31155,-59.7092,20.229
155.309,-59.70342,18.646
155.30695,-59.73342,17.637
155.30499,-59.74166,19.931
155.30277,-59.70455,17.923
155.30271,-59.70178,18.231
155.29534,-59.72032,17.667
155.29478,-59.71578,19.92
155.28805,-59.70982,17.009
155.28513,-59.75622,15.673
155.2852,-59.70303,20.551
155.28416,-59.72102,18.985
155.28084,-59.69503,19.628
155.27666,-59.73843,18.734
155.2763,-59.75455,18.339
155.27664,-59.67417,20.23
155.27657,-59.6692,19.261
155.27459,-59.69452,18.043
155.27321,-59.75914,17.477
155.27252,-59.77175,18.97
155.27384,-59.66434,19.425
155.27289,-59.65934,16.994
155.27215,-59.6613,20.665
155.27014,-59.72036,14.234
155.26941,-59.71085,19.911
155.26975,-59.68241,19.838
155.2672,-59.73161,17.973
155.26536,-59.76433,17.604
155.26395,-59.6735,14.367
155.26109,-59.75148,19.788
155.26189,-59.68715,19.997
155.26153,-59.66222,17.309
155.25871,-59.7624,19.724
155.25663,-59.77344,20.551
155.25704,-59.73552,19.617
155.25637,-59.73711,19.79
155.25699,-59.66072,19.116
155.25384,-59.75344,17.782
155.25346,-59.74127,19.824
155.25372,-59.68746,17.057
155.2516,-59.77905,14.336
155.25029,-59.69778,18.004
155.24723,-59.76193,18.33
155.24602,-59.77472,19.636
155.2452,-59.70249,19.431
155.24314,-59.71472,19.85
155.2429,-59.68949,19.768
155.24255,-59.64712,19.958
155.24072,-59.75047,19.756
155.24193,-59.6543,19.642
155.23947,-59.75174,19.569
155.23774,-59.7717,19.085
155.23745,-59.70497,19.441
155.23632,-59.75151,18.188
155.23618,-59.73931,17.666
155.23597,-59.6826,19.455
155.23302,-59.77273,20.061
155.23227,-59.75663,20.313
155.23089,-59.72933,15.349
155.22533,-59.77779,20.402
155.22695,-59.6576,19.775
155.22608,-59.69792,19.501
155.22057,-59.7227,20.406
155.21794,-59.76037,20.009
155.21771,-59.76837,18.696
155.2167,-59.7814,18.671
155.217,-59.75545,20.139
155.21467,-59.75057,19.021
155.214,-59.75707,19.752
155.21272,-59.73405,19.263
155.21215,-59.74002,20.243
155.2103,-59.73515,20.113
155.20903,-59.7961,17.111
155.20935,-59.71279,18.32
155.20774,-59.63393,20.394
155.20527,-59.78867,19.539
155.2041,-59.73455,20.594
155.20208,-59.79827,20.191
155.20403,-59.6643,19.126
155.20369,-59.68287,16.208
155.20299,-59.63974,19.88
155.20038,-59.79246,17.947
155.20052,-59.75739,20.117
155.20024,-59.77388,19.401
155.19997,-59.72134,18.217
155.19984,-59.71742,19.898
155.19768,-59.76659,20.266
155.19731,-59.78684,14.898
155.19898,-59.6557,19.438
155.19814,-59.66269,20.383
155.19677,-59.70939,17.391
155.19509,-59.63845,20.094
155.19376,-59.71465,19.92
155.19477,-59.64283,19.419
155.1909,-59.79638,20.152
155.19149,-59.74455,20.488
155.19208,-59.68616,18.236
155.19055,-59.72221,19.789
155.18926,-59.72685,20.538
155.18876,-59.74695,19.858
155.18871,-59.74053,20.063
155.18786,-59.73704,20.111
155.18808,-59.6842,20.423
155.1881,-59.67365,20.48
155.18568,-59.75171,19.239
155.18641,-59.68121,19.302
155.18594,-59.6889,19.484
155.18522,-59.72091,20.543
155.18661,-59.63335,18.935
155.18065,-59.7721,20.315
155.18,-59.75543,19.924
155.18075,-59.69995,20.276
155.17747,-59.72674,20.326
155.17525,-59.79398,18.903
155.17679,-59.69711,20.647
155.17719,-59.65483,20.746
155.17506,-59.76229,20.534
155.1768,-59.62822,19.117
155.17386,-59.712,18.784
155.17394,-59.68972,20.473
155.1719,-59.78147,17.843
155.1707,-59.76948,16.361
155.1725,-59.63908,15.286
155.16916,-59.70893,19.535
155.17031,-59.63478,20.007
155.16939,-59.6872,20.174
155.16612,-59.7979,17.33
155.16517,-59.75886,19.492
155.16572,-59.67342,18.267
155.16455,-59.71451,19.985
155.16451,-59.65856,19.672
155.16303,-59.69237,18.577
155.16132,-59.76158,19.799
155.16303,-59.65607,19.921
155.16215,-59.70253,19.508
155.15986,-59.69265,19.543
155.15892,-59.73325,19.76
155.15889,-59.72387,20.496
155.15763,-59.78532,20.645
155.15856,-59.72259,18.487
155.15862,-59.63256,19.717
155.15632,-59.62748,20.372
155.15425,-59.73087,20.576
155.15303,-59.70022,16.52
155.15263,-59.70448,18.609
155.15072,-59.80551,19.016
155.14615,-59.7777,20.273
155.14658,-59.73911,18.241
155.14584,-59.68289,17.332
155.14463,-59.72788,18.436
155.14513,-59.65282,19.794
155.14442,-59.66076,18.308
155.14403,-59.66751,20.106
155.1419,-59.69395,19.763
155.14185,-59.75449,19.943
155.14169,-59.71681,20.155
155.14,-59.73686,19.83
155.14121,-59.65411,20.829
155.13993,-59.72072,20.36
155.1386,-59.72518,19.17
155.13875,-59.67471,20.57
155.13573,-59.7838,19.46
155.13544,-59.75546,19.25
155.13584,-59.70085,18.489
155.13402,-59.72048,19.99
155.13377,-59.69064,16.303
155.13131,-59.70202,18.9
155.13138,-59.66789,19.866
155.12798,-59.79376,19.71
155.12736,-59.80492,20.28
155.12652,-59.80574,19.56
155.127,-59.73431,17.85
155.12844,-59.63462,19.821
155.12699,-59.70553,19.98
155.12557,-59.77201,19.1
155.12631,-59.7299,16.63
155.12409,-59.76088,17.17
155.12601,-59.64729,17.614
155.12259,-59.76623,18.11
155.12352,-59.70596,18.54
155.12315,-59.69706,19.117
155.12338,-59.63089,15.838
155.12205,-59.64705,18.644
155.12132,-59.67593,18.443
155.1195,-59.68718,16.05
155.11897,-59.67102,19.091
155.11868,-59.64222,20.673
155.11414,-59.80436,20.39
155.1131,-59.79055,19.9
155.1145,-59.68844,20.309
155.11449,-59.63654,17.096
155.1127,-59.73418,18.13
155.11131,-59.78038,16.79
155.11074,-59.71539,19.54
155.11098,-59.67791,17.928
155.10893,-59.67008,20.732
155.10793,-59.68053,20.169
155.10414,-59.79618,19.54
155.10397,-59.76789,20.5
155.10307,-59.79244,19.53
155.10335,-59.69004,20.253
155.09948,-59.68468,14.868
155.0989,-59.71587,18.98
155.09833,-59.71143,20.71
155.09734,-59.75051,16.34
155.0958,-59.78178,19.63
155.09599,-59.76254,17.77
155.09455,-59.72264,19.81
155.09433,-59.71661,20.41
155.09213,-59.79185,19.68
155.0916,-59.67624,14.965
155.091,-59.69296,20.399
155.08836,-59.79421,18.12
155.08786,-59.77225,17.55
155.08728,-59.75417,20.66
155.08703,-59.72794,18.16
155.0878,-59.66503,19.372
155.08639,-59.73748,19.31
155.08501,-59.74752,17.01
155.08445,-59.6883,20.249
155.08292,-59.70069,20.49
155.08228,-59.72744,18.12
155.08139,-59.73925,20.03
155.0791,-59.79899,17.84
155.08207,-59.64156,20.28
155.08096,-59.67424,17.167
155.07946,-59.75246,19.53
155.07903,-59.75403,15.95
155.07814,-59.78673,18.79
155.07886,-59.73118,19.61
155.07792,-59.76317,17.31
155.07939,-59.68577,19.375
155.07821,-59.6381,20.493
155.07723,-59.6338,17.925
155.07529,-59.71055,18.95
155.07174,-59.73586,20.17
155.07109,-59.70158,17.41
155.06822,-59.7538,17.74
155.06878,-59.69081,20.672
155.06839,-59.70416,16.62
155.06609,-59.79645,18.87
155.06779,-59.66486,19.581
155.06509,-59.73481,20.08
155.06443,-59.73613,20.43
155.06313,-59.79373,19.77
155.06071,-59.69276,18.848
155.06042,-59.70419,16.86
155.06086,-59.66012,19.511
155.05885,-59.66654,20.371
155.05706,-59.68315,16.156
155.05639,-59.66641,19.355
155.05571,-59.68063,20.306
155.05371,-59.74167,19.93
155.05368,-59.73768,19.6
155.05077,-59.77226,19.99
155.05278,-59.66605,19.386
155.05199,-59.67972,17.27
155.05104,-59.72355,17.29
155.04821,-59.79333,20.77
155.05063,-59.66743,18.439
155.04764,-59.78907,19.4
155.04939,-59.67085,20.199
155.04701,-59.77459,18.84
155.04713,-59.68114,20.558
155.04518,-59.76904,18.73
155.04665,-59.64819,19.417
155.04403,-59.7715,17.22
155.04496,-59.68496,15.288
155.04528,-59.63959,20.519
155.04268,-59.65993,19.354
155.03895,-59.6607,14.636
155.03674,-59.76149,19.55
155.03562,-59.77697,18.52
155.03448,-59.678,20.478
155.03379,-59.70407,20.4
155.03312,-59.67727,20.723
155.02984,-59.7449,19.39
155.02888,-59.74237,16.26
155.02858,-59.71913,20.5
155.02574,-59.74427,17.18
155.02476,-59.78427,14.41
155.02584,-59.72823,19.8
155.02493,-59.68176,20.513
155.01996,-59.77788,20.63
155.01851,-59.7832,18.11
155.02002,-59.68712,20.188
155.01893,-59.64641,19.928
155.0166,-59.72484,20.37
155.01667,-59.70439,20.43
155.01498,-59.69057,18.929
155.013,-59.76843,20.2
155.01216,-59.77077,20.38
155.01335,-59.70491,19.56
155.0136,-59.6882,19.072
155.01262,-59.71469,20.38
155.01267,-59.69436,19.959
155.01222,-59.7094,18.82
155.0132,-59.66248,20.431
155.0097,-59.76236,20.13
155.01123,-59.67056,19.888
155.00956,-59.72628,18.98
155.00811,-59.7757,17.2
155.00693,-59.76956,17.46
155.00874,-59.65207,19.395
155.00326,-59.67355,19.098
155.00225,-59.68818,20.602
154.99893,-59.72084,18.29
154.99564,-59.7301,17.72
154.99481,-59.73898,19.53
154.99402,-59.76595,19.7
154.9932,-59.75886,17.23
154.99382,-59.71571,18.07
154.99154,-59.73352,18.37
154.99112,-59.71369,17.82
154.98964,-59.74209,19.81
154.9893,-59.74583,19.68
154.97945,-59.75838,19.22
154.97752,-59.7203,20.29
154.97793,-59.70096,16.51
154.9733,-59.75267,17.57
154.97312,-59.74014,20.54
154.97099,-59.71838,14.56
154.97071,-59.68486,20.02
154.96778,-59.71238,16.8
154.96544,-59.72367,19.94
154.96204,-59.70712,18.24
154.9605,-59.71923,18.78
154.95816,-59.7134,18.63
155.29133,-59.7031,18.33
155.2881,-59.73502,20.024
155.27585,-59.68416,19.489
155.26648,-59.73488,20.175
155.26227,-59.69449,20.276
155.25411,-59.76508,20.643
155.25473,-59.68294,14.009
155.23861,-59.72413,20.466
155.22965,-59.73098,19.024
155.22798,-59.76489,18.67
155.21859,-59.77622,19.318
155.21858,-59.67147,20.593
155.21395,-59.78861,20.407
155.20044,-59.77494,20.518
155.19736,-59.66684,19.913
155.19095,-59.72129,20.315
155.18752,-59.7844,19.989
155.18924,-59.66999,18.128
155.18764,-59.69826,13.877
