SOURCE_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_g_mean_flux,duplicated_source,l,b
5255053255878072320,155.11521163801294,0.12841160595417023,-59.69449524601855,0.11194364726543427,0.21936704876231625,0.14579783380031586,1.5045974254608154,0.9812167286872864,,1.3047829866409302,-61.23115136604404,0.1667162925004959,0.14188675582408905,27,18.63031768798828,19.723020553588867,17.646100997924805,2.0769195556640625,1.30716073513031,664.996639265725,False,284.9256448868655,-2.2091922412046694
5255053255878073600,155.11920464575869,0.1677994728088379,-59.68969579681668,0.1591177135705948,0.5701537078737856,0.1968429833650589,2.8964898586273193,1.2808187007904053,,1.451523780822754,-61.2264645873731,1.1741811037063599,6.437206268310547,27,18.805763244628906,19.389333724975586,17.83006477355957,1.5592689514160156,1.4576135873794556,565.772076358106,False,284.92471692464943,-2.2040701971443495
5255053255878073856,155.12040876553846,0.12882710993289948,-59.692612052998705,0.12087923288345337,0.27330902275911834,0.1497965306043625,1.8245350122451782,1.1096278429031372,,1.4146411418914795,-61.227938926225065,0.5103333592414856,1.512964129447937,27,18.652212142944336,19.339862823486328,17.865354537963867,1.474508285522461,1.2538248300552368,651.7207136888,False,284.926817694576,-2.2061837522328025
5255053260176773120,155.09387098796523,0.10990943759679794,-59.68863847051217,0.09850817173719406,0.1667784893363272,0.12450377643108368,1.3395456075668335,1.0243521928787231,1.45232093334198,,-61.23535040490611,0.23525166511535645,0.4219995141029358,26,18.433990478515625,19.078405380249023,17.74100112915039,1.3374042510986328,1.1974997520446777,796.8025779909975,False,284.91341456052686,-2.210156017346693
5255053260176811264,155.1023051322925,0.045226845890283585,-59.6902626662954,0.043469980359077454,0.23797934694505785,0.054548878222703934,4.362680912017822,0.9959714412689209,1.4878305196762085,,-61.23323385805947,0.0,3.999488830126307e-15,28,17.097301483154297,17.56745147705078,16.38964080810547,1.1778106689453125,1.2780852317810059,2729.1427614621366,False,284.91787147687126,-2.2091957683792187
5255053260176836992,155.10629561588078,0.12739014625549316,-59.68878810359155,0.11210233718156815,0.09529816397903539,0.13944225013256073,0.6834238767623901,1.0380656719207764,1.3152116537094116,,-61.23074816790763,0.4278026223182678,1.1303470134735107,27,18.56963348388672,19.753889083862305,17.53765296936035,2.216236114501953,1.3325905799865723,703.2233909864018,False,284.9187561245116,-2.2068614920765035
5255053260197394560,155.09827929884787,0.010215599089860916,-59.68486228558273,0.010032382793724537,0.3031835002374397,0.01262040063738823,24.023286819458008,0.9283029437065125,1.652741551399231,,-61.23118333337436,0.06240754947066307,4.047278881072998,27,12.687347412109375,12.83176040649414,12.4154634475708,0.41629695892333984,1.175609827041626,158492.17663674033,False,284.91321963522205,-2.2057774063090543
5255053260197403904,155.1136268809567,0.04222628101706505,-59.68855119123763,0.04000633582472801,0.2288811655952032,0.048845987766981125,4.685771942138672,0.9882740378379822,1.4926013946533203,,-61.227817468781225,0.0,0.0,26,16.880176544189453,17.353103637695312,16.229949951171875,1.1231536865234375,1.2352666854858398,3333.310827601185,False,284.9217307913913,-2.204645377228343
5255053260197409408,155.1179912127933,0.08260635286569595,-59.68858388791275,0.07412513345479965,0.5152948152907516,0.09342200309038162,5.515775680541992,1.0753589868545532,,1.446225881576538,-61.226187822403574,0.2945193946361542,1.2499175071716309,27,17.824790954589844,18.360755920410156,17.043277740478516,1.3174781799316406,1.3072776794433594,1396.4656891061345,False,284.9235965275686,-2.2034719056018597
5255053260197414400,155.1186824057386,0.012048822827637196,-59.68727619754183,0.010582011193037033,0.3103281885468968,0.014037609100341797,22.106910705566406,0.9070954322814941,1.640451431274414,,-61.225060836027026,0.0,0.0,26,13.813376426696777,13.98120403289795,13.506513595581055,0.47469043731689453,1.1797680854797363,56181.878677615845,False,284.923175769406,-2.2021854470128797
5255053294536697728,155.15026042488694,0.2551860809326172,-59.6970227563618,0.2390744835138321,-0.651257104660987,0.28853845596313477,-2.257089614868164,2.9341418743133545,,1.2966734170913696,-61.21956460659895,2.9622223377227783,76.9718017578125,27,18.410198211669922,19.519622802734375,17.073101043701172,2.446521759033203,1.703320860862732,814.4550155779011,False,284.9418625458911,-2.2016732044883223
5255053290232386816,155.1448732365346,0.057866089046001434,-59.689838337173015,0.051275044679641724,0.3654731410926667,0.06585066765546799,5.550029754638672,0.9775658845901489,1.4636123180389404,,-61.216847700056334,0.0,1.9923608288619377e-15,27,17.41168212890625,18.008684158325195,16.707183837890625,1.3015003204345703,1.2238725423812866,2043.0276975612715,False,284.9356642533656,-2.1971296402020455
5255053290232411392,155.1356966202594,0.030912168323993683,-59.679304829248345,0.027043849229812622,0.20959038641919528,0.03437099605798721,6.097885608673096,0.9670130610466003,1.4674466848373413,,-61.21334675521142,0.0,0.0,28,16.20436668395996,16.750471115112305,15.494297981262207,1.2561731338500977,1.248099684715271,6211.556654760997,False,284.9260336540869,-2.1908211059672995
5255053290237815680,155.1391442431083,0.0716259703040123,-59.69422907699983,0.06289541721343994,0.39663466803979164,0.08055316656827927,4.923886775970459,1.0588797330856323,,1.4176591634750366,-61.221920975204114,0.27966544032096863,1.4691293239593506,28,17.66781234741211,18.10321807861328,16.814729690551758,1.2884883880615234,1.4091469049453735,1613.6976892049313,False,284.9356323336355,-2.2023866518885673
5255053290237816192,155.14169194573967,0.0708250179886818,-59.68726450994276,0.06060679629445076,0.4986788501504911,0.07493077963590622,6.65519380569458,1.034481167793274,1.445334553718567,,-61.21634762012509,0.1968509554862976,0.7697985768318176,27,17.645498275756836,18.294906616210938,16.930862426757812,1.364044189453125,1.2117091417312622,1647.2040291094386,False,284.9329135331355,-2.195846213551421
5255053290237816448,155.14219923334818,0.10197152197360992,-59.686530192884355,0.09092886745929718,0.09784923083686851,0.1143219992518425,0.8559090495109558,1.0196048021316528,,1.4268927574157715,-61.21566963585484,0.09569580852985382,0.07482697814702988,27,18.37112808227539,19.208740234375,17.41048240661621,1.798257827758789,1.3549879789352417,844.2974492061727,False,284.9327279875456,-2.195090964073146
5255053290237817856,155.14864596890203,0.07383334636688232,-59.697328232447695,0.068773053586483,0.11396831992735622,0.08492671698331833,1.3419607877731323,1.0753254890441895,1.267931580543518,,-61.22037747817073,0.2401006519794464,0.8588329553604126,28,17.830930709838867,19.4565372467041,16.630929946899414,2.8256072998046875,1.4334608316421509,1388.5910530116607,False,284.9413454672698,-2.2023731499021277
