source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_g_mean_flux,duplicated_source,l,b
5309188093140612736,146.14591350813447,0.013215193524956703,-54.07819846147061,0.013422085903584957,1.461215366589468,0.014321604743599892,102.02873992919922,1.2064968347549438,1.5649508237838745,,-60.808980121191496,0.08760431408882141,4.840353965759277,27,13.813966751098633,14.123746871948242,13.33727741241455,0.7864694595336914,1.198163628578186,56151.34386927116,False,277.6487387479458,-0.6452653875593688
5309188093140613376,146.14761216454073,0.1732291281223297,-54.07816652123021,0.19320480525493622,0.10029015060678023,0.20939409732818604,0.4789540469646454,1.6277248859405518,,1.1333235502243042,-60.80828164130383,1.883008599281311,32.86809158325195,24,18.203948974609375,18.855180740356445,16.822322845458984,2.032857894897461,1.9007500410079956,984.843067766236,False,277.6494772252806,-0.6445953947540565
5309188093140614144,146.15458950888618,0.059768225997686386,-54.07582614096317,0.06137430667877197,0.2730396263216507,0.0658487007021904,4.1464691162109375,1.0817301273345947,1.4680209159851074,,-60.80378724806464,0.26670631766319275,1.8658469915390015,26,17.362598419189453,17.914348602294922,16.679357528686523,1.2349910736083984,1.2260676622390747,2137.5071068759953,False,277.65107954045635,-0.640160558400202
5309188093140614400,146.16448486698087,0.09277293086051941,-54.080463310051336,0.09106417745351791,0.2463130148312416,0.10324380546808243,2.3857414722442627,1.0266541242599487,,1.4285738468170166,-60.80326684890008,0.0,0.0,27,18.14877700805664,18.83538246154785,17.303359985351562,1.532022476196289,1.3023427724838257,1036.1825920802505,False,277.65850660808104,-0.6399329483978201
5309188093140614912,146.16206703859524,0.025295844301581383,-54.07848680136825,0.025143148377537727,0.3802334314935075,0.027975471690297127,13.59167194366455,1.057059407234192,1.4648041725158691,,-60.802773489696555,0.08548493683338165,0.943419873714447,26,15.800629615783691,16.35318946838379,15.09381103515625,1.259378433227539,1.2430812120437622,9009.379234533426,False,277.65614555928363,-0.6393458128662185
5309188093140615168,146.14759432266757,0.051330454647541046,-54.06972082415543,0.050487127155065536,0.13984020724999108,0.05498097836971283,2.543428897857666,1.0670104026794434,1.4812736511230469,,-60.80207469728808,0.18736819922924042,1.2963531017303467,26,17.004037857055664,17.499826431274414,16.33500099182129,1.164825439453125,1.2388795614242554,2973.9363224005738,False,277.6439971415381,-0.638168704006396
5309188093140615552,146.16503590133314,0.050908587872982025,-54.07782161748857,0.05024360120296478,0.19560692482227182,0.05600958317518234,3.4923832416534424,1.0306440591812134,1.2896677255630493,,-60.801104408239915,0.14320454001426697,0.7125909924507141,26,17.05211067199707,18.39848518371582,15.923367500305176,2.4751176834106445,1.4002999067306519,2845.1302017908583,False,277.6570418137514,-0.6377108570807217
5309188093140793088,146.14492815181555,0.16983623802661896,-54.07762470189665,0.18008509278297424,0.4527836156528049,0.1965189129114151,2.304020404815674,2.122652769088745,,1.3038439750671387,-60.808949546713556,1.9004404544830322,46.07143020629883,25,17.863384246826172,18.011857986450195,16.749534606933594,1.2623233795166016,1.806754231452942,1347.7000000981757,False,277.647926609218,-0.6452028869288963
5309188093146497664,146.1509809218058,0.6125450134277344,-54.07650534168721,0.6276420950889587,2.387155301795131,0.6981117129325867,3.4194459915161133,4.752518653869629,,1.290808916091919,-60.80572087116305,8.038141250610352,322.8013610839844,27,18.716533660888672,19.067413330078125,17.572065353393555,1.4953479766845703,1.7327606678009033,614.2332184384835,False,277.6499066066087,-0.642049529522421
5309188123185558400,146.17350398031888,0.14087466895580292,-54.07241622279393,0.13872264325618744,0.6994610166427878,0.15860353410243988,4.410122394561768,1.0462477207183838,1.3480974435806274,,-60.79376250667247,0.5043660998344421,1.1815431118011475,27,18.763612747192383,19.806947708129883,17.801118850708008,2.005828857421875,1.2988507747650146,588.1679118583575,False,277.6573267131275,-0.6303744827490125
