ra,dec,u
146.10525,-54.20575,19.815
146.10388,-54.2063,19.325
146.10431,-54.15694,20.181
146.10332,-54.10944,17.418
146.10295,-54.11371,18.297
146.10259,-54.10545,19.02
146.10293,-54.05355,20.116
146.10047,-54.19916,20.007
146.09938,-54.08705,19.286
146.09591,-54.17835,19.815
146.09545,-54.16344,18.987
146.09531,-54.12262,19.201
146.09329,-54.18704,19.464
146.09422,-54.09473,18.378
146.09227,-54.18462,18.409
146.09219,-54.17524,17.064
146.0937,-54.04361,19.736
146.09208,-54.15158,18.063
146.09302,-54.07504,20.73
146.09084,-54.21803,19.181
146.09216,-54.11706,16.57
146.09112,-54.16525,18.451
146.09236,-54.04966,17.001
146.09113,-54.10201,20.766
146.09057,-54.12207,19.426
146.08946,-54.16697,18.186
146.08883,-54.14343,18.039
146.08812,-54.15252,19.873
146.08688,-54.12072,18.193
146.08635,-54.12208,19.371
146.0847,-54.20307,19.081
146.08376,-54.07082,18.905
146.08244,-54.10938,20.086
146.08222,-54.12222,20.841
146.08044,-54.20062,16.988
146.0807,-54.1412,19.992
146.08034,-54.13081,19.461
146.07967,-54.07328,18.77
146.07858,-54.13445,19.947
146.07686,-54.20687,20.252
146.07823,-54.11363,17.063
146.07621,-54.145,19.48
146.07417,-54.16631,19.432
146.07451,-54.10134,14.567
146.07383,-54.06854,16.703
146.0721,-54.16419,19.497
146.07314,-54.04273,20.389
146.06924,-54.12672,16.7
146.06808,-54.11159,19.579
146.06665,-54.18338,19.538
146.06724,-54.05499,17.43
146.06492,-54.1478,19.927
146.066,-54.06632,20.522
146.06444,-54.12098,19.745
146.06343,-54.177,17.972
146.0646,-54.09181,18.321
146.06197,-54.21196,19.477
146.06312,-54.11675,18.717
146.06194,-54.18254,15.824
146.06183,-54.11384,19.772
146.06046,-54.1857,16.002
146.06235,-54.0476,16.953
146.06098,-54.10443,18.276
146.05923,-54.18962,20.043
146.0605,-54.06823,19.628
146.05595,-54.18731,20.348
146.05578,-54.17857,20.667
146.057,-54.09709,20.27
146.05611,-54.07371,19.841
146.05421,-54.09873,20.614
146.05342,-54.10125,18.9
146.05344,-54.08098,19.304
146.05172,-54.18046,19.934
146.05022,-54.17993,20.39
146.05012,-54.09688,19.758
146.04918,-54.12887,19.097
146.04726,-54.19854,19.691
146.04736,-54.15383,15.336
146.04686,-54.13016,19.973
146.04747,-54.08047,19.232
146.0473,-54.07466,19.328
146.04663,-54.09579,16.525
146.0457,-54.14616,17.059
146.04588,-54.11832,19.531
146.04599,-54.10611,17.648
146.04373,-54.09908,20.598
146.04175,-54.1417,18.375
146.04151,-54.13054,18.084
146.04097,-54.13489,20.38
146.04014,-54.08487,18.271
146.0392,-54.12984,17.944
146.03984,-54.06581,19.844
146.03768,-54.17049,18.217
146.03843,-54.07011,16.003
146.03696,-54.10096,17.771
146.03639,-54.13044,17.744
146.03573,-54.15079,20.191
146.03619,-54.10978,20.129
146.03412,-54.21152,19.247
146.03461,-54.15414,18.737
146.03449,-54.14603,20.215
146.03498,-54.08364,19.5
146.03418,-54.10868,20.544
146.03345,-54.10412,20.525
146.0317,-54.14494,16.199
146.03225,-54.07795,20.381
146.03088,-54.06898,18.489
146.02912,-54.17363,19.44
146.03013,-54.08287,17.327
146.02914,-54.12545,17.785
146.02893,-54.05847,20.133
146.02813,-54.10015,20.266
146.02681,-54.14675,19.944
146.0255,-54.19045,18.165
146.02511,-54.12546,18.421
146.02422,-54.07388,20.004
